crosswalked label (student data),,Model label (worldcover)
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Tree cover,,Built-up
Tree cover,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Tree cover,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Tree cover
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Built-up
Built-up,,Tree cover
Built-up,,Tree cover
